"Piso en calle del Mur, 4, Bagà",480,€/mes,2 ,70 ,Bajo exterior sin ascensor
"Chalet adosado en Valldoreix, Sant Cugat del Vallès",11.000,€/mes,5 ,1.500 ,
"Piso en Centre, Sitges",1.600,€/mes,3 ,77 ,1ª planta exterior con ascensor
"Casa o chalet independiente en Valldoreix, Sant Cugat del Vallès",2.400,€/mes,4 ,200 ,
"Ático en Vinyet-Terramar-Can Pei-Can Girona, Sitges",1.500,€/mes,2 ,90 ,4ª planta  con ascensor
"Piso en Volpelleres, Sant Cugat del Vallès",2.150,€/mes,3 ,120 ,Bajo exterior con ascensor
"Piso en Sant Joan - L'Aiguacuit, Vilanova i la Geltrú",750,€/mes,3 ,77 ,  sin ascensor
"Piso en Volpelleres, Sant Cugat del Vallès",1.750,€/mes,4 ,98 ,3ª planta exterior con ascensor
"Piso en calle del Marroc, Barcelona, Provençals del Poblenou, Barcelona",890,€/mes,1 ,40 ,1ª planta exterior sin ascensor
"Casa o chalet independiente en Valldoreix, Sant Cugat del Vallès",3.500,€/mes,5 ,300 ,
"Piso en Passatge Progrés, 12, La Concòrdia, Sabadell",650,€/mes,2 ,55 ,3ª planta exterior sin ascensor
"Piso en Centre - Estació, Sant Cugat del Vallès",1.800,€/mes,3 ,133 ,2ª planta exterior con ascensor
"Piso en vilaros, 3, Sant Gervasi - La Bonanova, Barcelona",950,€/mes,1 ,50 ,3ª planta exterior con ascensor
"Piso en Can Matas, Sant Cugat del Vallès",1.500,€/mes,3 ,100 ,2ª planta exterior con ascensor
"Piso en calle Pallars, Barcelona, El Poblenou, Barcelona",1.100,€/mes,3 ,90 ,1ª planta exterior con ascensor
"Chalet adosado en Mirasol, Sant Cugat del Vallès",2.990,€/mes,5 ,500 ,
"Piso en paseo de San Juan, Barcelona, La Dreta de l'Eixample, Barcelona",1.600,€/mes,3 ,135 ,3ª planta exterior con ascensor
"Chalet adosado en Parc Central - Colomer, Sant Cugat del Vallès",2.600,€/mes,4 ,260 ,
"Ático en calle de Felip II, Barcelona, La Sagrera, Barcelona",1.200,€/mes,4 ,88 ,7ª planta exterior con ascensor
"Ático en Volpelleres, Sant Cugat del Vallès",1.600,€/mes,4 ,120 ,5ª planta exterior con ascensor
"Piso en Vila de Gràcia, Barcelona",2.300,€/mes,3 ,110 ,1ª planta exterior con ascensor
"Piso en Coll Favà - Can Magí, Sant Cugat del Vallès",1.600,€/mes,3 ,90 ,Bajo exterior con ascensor
"Piso en calle del Consejo de Ciento, Barcelona, La Nova Esquerra de l'Eixample, Barcelona",1.000,€/mes,3 ,71 ,4ª planta exterior con ascensor
"Casa o chalet independiente en Sant Francesc-El Coll, Sant Cugat del Vallès",4.500,€/mes,5 ,388 ,
"Piso en Guifre, 6, El Raval, Barcelona",860,€/mes,1 ,55 ,2ª planta exterior con ascensor
"Casa o chalet independiente en Valldoreix, Sant Cugat del Vallès",3.500,€/mes,5 ,270 ,
